username,reg no,Car_Name,Year,mileage,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,no accidents
admin,1,ritz,2014,18.5,3.35,5.59,27000,Petrol,Dealer,Manual,0,0
admin,2,sx4,2013,18,4.75,9.54,43000,Diesel,Dealer,Manual,0,0
admin,3,ciaz,2017,20,7.25,9.85,6900,Petrol,Dealer,Manual,0,0
admin,4,wagon r,2011,25,2.85,4.15,5200,Petrol,Dealer,Manual,0,0
admin,5,swift,2014,28,4.6,6.87,42450,Diesel,Dealer,Manual,0,0
admin,6,vitara brezza,2018,20,9.25,9.83,2071,Diesel,Dealer,Manual,0,0
admin,7,ciaz,2015,20,6.75,8.12,18796,Petrol,Dealer,Manual,0,0
admin,8,s cross,2015,24,6.5,8.61,33429,Diesel,Dealer,Manual,0,0
admin,9,ciaz,2016,26,8.75,8.89,20273,Diesel,Dealer,Manual,0,0
admin,10,ciaz,2015,26,7.45,8.92,42367,Diesel,Dealer,Manual,0,0
admin,11,alto 800,2017,22,2.85,3.6,2135,Petrol,Dealer,Manual,0,0
admin,12,ciaz,2015,26,6.85,10.38,51000,Diesel,Dealer,Manual,0,0
admin,13,ciaz,2015,20,7.5,9.94,15000,Petrol,Dealer,Automatic,0,0
admin,14,ertiga,2015,19.34,6.1,7.71,26000,Petrol,Dealer,Manual,0,0
admin,15,dzire,2009,22.41,2.25,7.21,77427,Petrol,Dealer,Manual,0,0
admin,16,ertiga,2016,25.47,7.75,10.79,43000,Diesel,Dealer,Manual,0,0
admin,17,ertiga,2015,25.47,7.25,10.79,41678,Diesel,Dealer,Manual,0,0
admin,18,ertiga,2016,25.47,7.75,10.79,43000,Diesel,Dealer,Manual,0,0
admin,19,wagon r,2015,34,3.25,5.09,35500,CNG,Dealer,Manual,0,0
admin,20,sx4,2010,12,2.65,7.98,41442,Petrol,Dealer,Manual,0,0
admin,21,alto k10,2016,24,2.85,3.95,25000,Petrol,Dealer,Manual,0,0
admin,22,ignis,2017,20,4.9,5.71,2400,Petrol,Dealer,Manual,0,0
admin,23,sx4,2011,12,4.4,8.01,50000,Petrol,Dealer,Automatic,0,0
admin,24,alto k10,2014,24,2.5,3.46,45280,Petrol,Dealer,Manual,0,0
admin,25,wagon r,2013,25,2.9,4.41,56879,Petrol,Dealer,Manual,0,0
admin,26,swift,2011,22,3,4.99,20000,Petrol,Dealer,Manual,0,0
admin,27,swift,2013,22,4.15,5.87,55138,Petrol,Dealer,Manual,0,0
admin,28,swift,2017,22,6,6.49,16200,Petrol,Individual,Manual,0,0
admin,29,alto k10,2010,24,1.95,3.95,44542,Petrol,Dealer,Manual,0,0
admin,30,ciaz,2015,26,7.45,10.38,45000,Diesel,Dealer,Manual,0,0
admin,31,ritz,2012,23.2,3.1,5.98,51439,Diesel,Dealer,Manual,0,0
admin,32,ritz,2011,18.5,2.35,4.89,54200,Petrol,Dealer,Manual,0,0
admin,33,swift,2014,28,4.95,7.49,39000,Diesel,Dealer,Manual,0,0
admin,34,ertiga,2014,25.47,6,9.95,45000,Diesel,Dealer,Manual,0,0
admin,35,dzire,2014,28.4,5.5,8.06,45000,Diesel,Dealer,Manual,0,0
